AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
1001000,50779,14.1,24.6,6.2,5.4,9.4,24.2,16.1
1002000,139934,14.5,26,6.4,5,10.3,28.9,8.9
1003000,117674,17.6,30.7,4.6,6.6,10.2,23,7.3
1004000,39971,20.2,32.2,3.3,9.4,11.9,14.6,8.4
10041100,89092,18.7,38.3,11.2,8.7,11.9,0,11.2
10041511,5890,20.3,39.6,6.9,13.2,10.3,0,9.7
10041512,4977,22.3,39.7,6.1,12.1,9.7,0,10.1
10041513,11836,24.1,37,6,9.5,13.3,0,10.1
10041514,6968,25.6,37.9,6.1,9.3,11.2,0,9.9
10041515,11908,27.7,36,6,9.3,11.5,0,9.5
10041516,8115,24.5,37.5,6.2,10.5,9.8,0,11.5
10041517,9286,24.3,38.3,6.9,8.1,13.4,0,9
10041518,8513,22.1,38.3,6.2,13.2,10,0,10.2
10041519,18233,20.2,38.3,7.8,11.8,10.7,0,11.2
10042111,9628,21.9,37.2,7.6,10.1,11.9,0,11.3
10042112,10007,26.4,35.7,6,9.2,12.3,0,10.4
10042113,16823,23.8,35.6,7.4,10,12.5,0,10.7
10042114,6806,24.8,36.7,6.6,9.7,12.1,0,10.1
10042115,3562,31,32.9,5.7,6.3,15.4,0,8.7
10042116,9977,27.1,36.1,5.6,9.5,12.1,0,9.6
10042117,4012,27.6,33.6,5.2,12.1,12.2,0,9.3
10043111,10965,29.6,35.9,5.2,9.2,11.1,0,9
10043112,10758,26.5,39,6.2,8.8,10.2,0,9.3
10043113,6323,24,39.5,5.9,10,10.5,0,10.1
10043114,21822,19,40.3,6.9,13.7,9.6,0,10.5
10043115,8862,19.6,41.1,6.8,12,10.2,0,10.3
10043116,9643,19.9,41.3,7,10.7,10,0,11.1
10043117,7711,22.3,38.2,6.5,12.3,11.5,0,9.2
10044111,9811,24.4,35.2,7.7,11.1,11.3,0,10.3
10044112,11291,28.4,34,5.5,9.5,12.4,0,10.2
10044113,5846,25.5,34.2,5.8,12.1,11.8,0,10.6
10044114,9406,23,39,6.7,8.9,11.9,0,10.5
10044115,19635,23.9,36.9,7.2,9.8,12.2,0,10
10044116,8392,25.7,35.3,7,9.4,12.1,0,10.5
10044117,9646,24.5,36.7,6.3,10.7,11.3,0,10.5
10044118,11246,24,37.4,6.7,10,11.2,0,10.7
10044119,7392,23.3,36.7,6.1,10.7,12.6,0,10.6
10044120,10463,22.4,39,6.3,10.1,12.2,0,10
10044121,5729,23,35.9,6.9,11,12.1,0,11.1
10044122,3937,21.9,38,7.5,10.9,10.4,0,11.3
10044123,3601,24.6,35.4,6.6,10.7,11.6,0,11.1
10045111,10924,22.8,36.3,6.3,12.4,11.2,0,11
10045112,13798,23.9,35.2,6.9,11.7,11.7,0,10.6
10045113,4266,26.8,34.8,6,10.4,9.4,0,12.6
10045114,22569,23.9,34.6,6.8,11.5,12.5,0,10.7
10045115,6786,20.2,41.6,6.3,8.3,13.6,0,10
10045116,7560,25.2,35.9,6.4,8.8,12,0,11.7
10045117,21931,24.9,36.8,6.7,9.8,11.8,0,10
10046111,5250,28.2,37.5,4.3,10.1,8.4,0,11.5
10046112,6974,28.2,40.6,5.4,7.5,9.1,0,9.2
10046113,4599,25.3,35.9,6.6,11.4,10,0,10.8
10046114,6496,27.3,39.3,4.7,8.6,10.4,0,9.7
10046115,5614,27.7,38.9,4.5,9,10.9,0,9
10046116,4045,28.9,37.7,3.8,8.4,10.8,0,10.4
10046117,16396,28.6,35,6.1,8.5,11.2,0,10.6
10046118,8311,33.1,33.2,5.2,7.4,10.9,0,10.2
1051001,1498,27.6,25.5,3.9,9.3,13.5,10.3,9.9
1051002,155,23.9,15.5,3.9,14.8,19.4,12.3,10.2
1051003,256,24.6,31.2,2,16.8,10.2,4.7,10.5
1051004,453,28.3,26.7,2.2,7.1,17,9.3,9.4
1051005,96,35.4,26,2.1,14.6,10.4,9.4,2.1
1051006,386,26.9,23.3,3.6,12.7,15.5,10.4,7.6
1051010,88,36.4,19.3,2.3,14.8,10.2,6.8,10.2
1051011,7084,20.8,31.9,2.8,10.3,15.1,11.1,8
1051012,510,29.6,25.5,1.6,8.4,16.7,9.2,9
1051013,1850,31.1,30.3,2.3,6.8,12.1,10.2,7.2
1051014,159,29.6,30.8,3.8,4.4,13.2,10.7,7.5
1051015,424,33.5,22.9,2.8,5.2,14.4,9.7,11.5
1051016,1814,25.7,27.7,3.8,10.1,15.8,10.3,6.6
1051017,146,24.7,19.9,4.1,13,16.4,12.3,9.6
1051019,362,40.9,17.1,1.1,9.9,12.7,10.8,7.5
1051020,377,29.7,25.2,2.7,9,14.3,12.2,6.9
1051021,325,21.2,35.4,2.5,9.8,13.5,12.9,4.7
1051022,320,20.9,29.4,3.8,14.4,12.5,10.6,8.4
1051023,284,29.2,21.1,1.1,12.3,16.5,9.9,9.9
1051024,630,27,26,3,9.5,15.6,8.4,10.5
1051026,398,31.4,24.1,1.3,9.5,12.8,10.6,10.3
1051027,416,26.2,26,2.2,7.9,17.5,11.8,8.4
1051028,360,22.5,29.7,1.7,10.6,16.9,9.4,9.2
1051030,141,31.2,22.7,2.8,9.2,19.1,7.8,7.2
1051032,202,36.1,22.8,3,7.4,17.3,7.9,5.5
1051033,214,25.7,22.9,4.7,7,17.8,12.2,9.7
1051034,1078,26.4,29.6,2.9,13.2,14.9,6,7
1051035,75,25.3,22.7,10.7,16,9.3,8,8
1051036,64,34.4,12.5,1.6,6.2,31.2,12.5,1.6
1051037,244,30.7,23.4,4.5,5.7,14.3,11.9,9.5
1051039,192,26,32.8,4.2,8.3,13,5.7,10
1051043,99,40.4,24.2,0,0,11.1,14.1,10.2
1051044,11710,22.3,28.5,4.6,8,13.4,14.6,8.6
1051045,83,30.1,16.9,1.2,12,12,20.5,7.3
1051046,388,23.2,26.5,3.6,9.3,20.4,10.3,6.7
1051047,199,31.7,26.1,3.5,9,10.1,9.5,10.1
1051048,1350,23.6,32.9,3.3,8.4,14.6,9.3,7.9
1051049,890,26.1,24.6,2.8,10.6,20.4,10,5.5
1051051,532,22.9,26.5,4.7,13.9,15.4,7.5,9.1
1051052,1249,32.7,23,1.8,11.4,13.8,10.1,7.2
1051053,127,33.1,26,1.6,10.2,13.4,8.7,7
1051054,328,34.8,25.9,0.9,4.6,13.7,9.5,10.6
1051057,168,29.8,25.6,4.8,7.1,14.3,11.3,7.1
1051058,78,39.7,15.4,2.6,10.3,23.1,0,8.9
1051060,197,29.9,23.4,1.5,10.2,17.3,10.2,7.5
1051061,287,19.5,40.1,2.1,7.7,13.2,9.8,7.6
1051062,393,23.4,29.3,2,10.9,18.8,10.2,5.4
1051063,260,26.2,24.2,2.7,8.5,16.9,10.4,11.1
1051064,304,28,29.9,3,11.8,11.8,7.6,7.9
1051065,461,21.5,33.6,3.3,9.1,7.8,10.2,14.5
1051067,215,30.7,27,1.9,12.6,12.1,5.1,10.6
1051068,397,29.2,22.7,2,10.8,18.1,9.6,7.6
1051069,976,23.3,31.7,2.4,6.7,14.8,14.4,6.7
1051071,557,23.5,38.2,4.7,9.7,6.5,9.5,7.9
1051072,2384,22.4,28.5,3.2,10.1,17.2,10.7,7.9
1051073,183,25.7,29.5,2.7,10.4,13.7,8.7,9.3
1051074,2929,21.9,30.8,3.8,8.4,11.6,15.1,8.4
1051075,465,23.2,29.2,1.3,12.9,16.6,7.5,9.3
1051076,268,28.4,26.5,2.6,7.5,14.2,10.4,10.4
1051077,78,53.8,6.4,0,9,15.4,9,6.4
1051078,563,24.9,28.2,1.6,8.5,17.1,13,6.7
1051079,203,28.1,29.6,1.5,7.4,10.3,12.8,10.3
1051080,63,38.1,23.8,0,9.5,15.9,9.5,3.2
1051081,104,36.5,12.5,3.8,4.8,29.8,8.7,3.9
